0,-0.794,0,0.313,1.504,4.249,1.327,
1,10.476,0,-6,1,1.513,16,
2,-11.538,0,-5.829,1,1.605,16,
3,-1.615,0,7.429,3.255,1.513,1.88,
4,-3.923,0,8.8,8.115,1.605,3.163,
5,6.692,0,9.486,4.63,1.605,1,
6,4.154,0,9.486,2.797,1.605,1,
7,-10.615,0,9.486,4.08,1.605,1,
8,-6.692,0,9.486,2.888,1.605,1,
9,-7.048,0,-10.5,13.876,1,1,
10,6.667,0,-6.375,4.248,1,0.85,
11,-10.857,0,-6.375,4.248,1,1,
12,-7.429,0,-10.125,0.85,1,3.965,
13,6.667,0,-10.125,0.991,1,4.531,
14,5.208,0,-5.66,0.542,1,0.271,
15,3.396,0,-6.34,1.175,1,0.723,
16,2.038,0,-5.66,0.904,1,0.362,
17,-5.66,0,-6.113,0.452,1,0.362,
18,-4.302,0,-5.66,0.633,1,0.362,
19,-2.943,0,-6.34,0.814,1,0.452,
20,5.208,0,-1.132,0.542,1,0.271,
21,7.698,0,-2.717,1.085,1,1.898,
22,-7.698,0,-3.396,2.35,2.802,2.169,
23,-10.189,0,3.17,2.35,3.254,3.706,
24,-10.189,0,-1.811,0.362,1,0.542,
25,-9.283,0,-1.811,0.542,1,0.452,
26,-6.566,0,3.17,1.175,1.989,0.633,
27,-4.981,0,3.849,1,1.446,0.271,
28,6.34,0,4.981,0.362,1,0.362,
29,9.736,0,3.17,0.452,1,0.542,
30,8.151,0,2.717,0.723,1.266,0.542,
31,3.849,0,3.17,0.362,1,0.452,
32,6.566,0,3.17,0.904,1,0.452,
33,4.981,0,2.717,1,1.989,0.542,
